date,type,operator,fatalities,location,country,cat,year
08-MAY-1936,LiorÃ©-et-Olivier H.242/1,Air France,0.0,near Algerian coast,Mediterranean Sea,A1,1936
31-MAY-1936,Douglas DC-2-172,TWA,0.0,near Chicago Municipa...,USA,A1,1936
09-JUN-1936,Fokker F.XXII,AB Aerotransport,2.0,MalmÃ¶-Bulltofta...,Sweden,A1,1936
16-JUN-1936,Junkers Ju-52/3m,DNL,7.0,"Mount Lihesten, ...",Norway,A1,1936
07-JUL-1936,Vickers Valentia,RAF,7.0,Mersa Matruh Air...,Egypt,A1,1936
09-JUL-1936,Curtiss Condor 18,Chamberlin Flying Service,0.0,Terre Haute-Hulm...,USA,O1,1936
20-JUL-1936,Junkers Ju-52/3m,German AF,2.0,Oberhof,Germany,A1,1936
26-JUL-1936,Junkers G.38di,Deutsche Lufthansa,0.0,Dessau,Germany,A1,1936
29-JUL-1936,Curtiss T-32C Condor II,LAN Chile,0.0,CopiapÃ³ Airport...,Chile,A1,1936
08-AUG-1936,Ford 4-AT-B Tri-Motor,Private,0.0,"Hundred, WV",USA,A1,1936
12-AUG-1936,DH.86 Express,British Airways,2.0,near Altenkirchen,Germany,A1,1936
13-AUG-1936,Curtiss AT-32A Condor II,American Airlines,0.0,Glendale-Grand C...,USA,A1,1936
15-AUG-1936,Fokker F.XII,AviaciÃ³n Nacional,2.0,Biarritz Parme A...,France,A1,1936
16-AUG-1936,Fokker F.XII,AviaciÃ³n Nacional,0.0,La Rochelle-Lago...,France,A1,1936
22-AUG-1936,Short S.17 Kent,Imperial Airways,2.0,"Mirabella Bay, C...",Greece,A1,1936
15-SEP-1936,DH.86A Express,British Airways,3.0,London-Gatwick A...,U.K.,A1,1936
19-SEP-1936,Junkers Ju-52/3mfe,Deutsche Lufthansa,6.146275647879436,Frankfurt,Germany,A1,1936
24-SEP-1936,CANT Z.506,Ala Littoria,9.0,near Benghazi,Libya,A1,1936
25-SEP-1936,Boulton Paul P.71A,Imperial Airways,2.0,near Dungeness,U.K.,A1,1936
29-SEP-1936,A.W. AW.15 Atalanta,Imperial Airways,0.0,Delhi,India,O1,1936
10-OCT-1936,Douglas DC-2-118B,Panagra,3.0,near San JosÃ© Pinula,Guatemala,A1,1936
01-NOV-1936,Junkers Ju-52/3mge,Deutsche Lufthansa,10.0,near Tabarz,Germany,A1,1936
04-NOV-1936,Junkers Ju-52/3mge,HISMA,6.146275647879436,near Madrid,Spain,C1,1936
05-NOV-1936,Junkers Ju-52/3m,HISMA,6.146275647879436,near Algordon,Spain,C1,1936
17-NOV-1936,Junkers Ju-52/3mge,Deutsche Lufthansa,4.0,near Lauf an der Pegnitz,Germany,A1,1936
19-NOV-1936,Fokker F.XII,British Airways,2.0,"Pound Hill, Tilg...",U.K.,A1,1936
25-NOV-1936,Junkers Ju-52/3m,HISMA,6.146275647879436,near Cuatro Vientos,Spain,C1,1936
28-NOV-1936,Junkers Ju-52/3m,Deutsche Lufthansa,0.0,near Hannover,Germany,A1,1936
03-DEC-1936,Junkers Ju-52/3m,Deutsche Lufthansa,6.0,Le Grand-Bornand,France,A1,1936
08-DEC-1936,Junkers Ju-52/3m,Condor Legion,4.0,"near Serranillos, Ãvila",Spain,A1,1936
09-DEC-1936,Douglas DC-2-115E,KLM,15.0,London-Croydon A...,U.K.,A1,1936
16-DEC-1936,Fokker F.XII,AviaciÃ³n Nacional,0.0,LeÃ³n Airport,Spain,A1,1936
19-DEC-1936,Douglas DC-2-112,"North American Aviation, op.for Eastern Air Lines",0.0,"near Milford, PA",USA,A1,1936
25-DEC-1936,Douglas DC-2-118A,CNAC,6.146275647879436,Chengtu,China,A1,1936
28-DEC-1936,Short S.8 Calcutta,Imperial Airways,0.0,"Mirabello Bay, C...",Greece,O1,1936
28-DEC-1936,Douglas DC-2-118B,CNAC,6.146275647879436,near Nanking Airport ...,China,A2,1936
