,date,type,operator,fatalities,location,country,cat,year,is_fatal,decade,severity
17050,27-FEB-1992,Antonov An-26Sm,German AF,0.0,Friedrichshafen ...,Germany,A1,1992,0,1990,No Fatalities
17051,29-FEB-1992,Douglas Dc-3A,Frigorifico Santa Rita,0.0,Carolita Ranch,Bolivia,A1,1992,0,1990,No Fatalities
17052,??-FEB-1992,Douglas Dc-3C,Air Kenya,0.0,Maasai Mara Nati...,Kenya,A1,1992,0,1990,No Fatalities
17053,02-MAR-1992,Curtiss C-46T,Frigorifico Santa Rita,5.0,Estancia El Trom...,Bolivia,A1,1992,1,1990,Low Fatalities
17054,03-MAR-1992,Douglas Dc-6Bf,Everts Air Fuel,0.0,"Selawik Airport,...",USA,A1,1992,0,1990,No Fatalities
17055,06-MAR-1992,Namc Ys-11A-205,Airborne Express,0.0,Wilmington-Airbo...,USA,A1,1992,0,1990,No Fatalities
17056,09-MAR-1992,Lockheed L-1011-385-3 Tristar 500,BWIA,0.0,near KIRN VOR,Germany,A2,1992,0,1990,No Fatalities
17057,12-MAR-1992,Dhc-6 Twin Otter 300,Lina Congo,3.0,near Etsouali,Congo,A1,1992,1,1990,Low Fatalities
17058,12-MAR-1992,Bae 3101 Jetstream 31,"USAir Express, opb CCAir",2.0,near Knoxville-Mc Ghe...,USA,A1,1992,1,1990,Low Fatalities
17059,13-MAR-1992,Fairchild Fh-227C,Aerocaribe,0.0,Acapulco-Alvarez...,Mexico,A1,1992,0,1990,No Fatalities
17060,13-MAR-1992,Let L-410Uvp-E,Slov-Air,0.0,Zilina Airport (...,Slovakia,A1,1992,0,1990,No Fatalities
17061,19-MAR-1992,Dhc-6 Twin Otter 300,NorOntair,0.0,Red Lake Airport...,Canada,A2,1992,0,1990,No Fatalities
17062,19-MAR-1992,Antonov An-2R,ZUA,6.146275647879436,Marzeno,Italy,A1,1992,1,1990,Low Fatalities
17063,21-MAR-1992,Concorde 102,British Airways,0.0,North Atlantic,Atlantic Ocean,A2,1992,0,1990,No Fatalities
17064,21-MAR-1992,Cessna 550 Citation Ii,private,0.0,Lugano Airport (...,Switzerland,A2,1992,0,1990,No Fatalities
17065,21-MAR-1992,Iai 1124 Westwind I,Australian Coast Guard,0.0,"Darwin Airport, ...",Australia,A2,1992,0,1990,No Fatalities
17066,22-MAR-1992,Antonov An-30A,Myachkovo Avia,10.0,near Nizhneyansk,Russia,A1,1992,1,1990,Low Fatalities
17067,22-MAR-1992,Fokker F-28 Fellowship 4000,USAir,27.0,New York-La Guar...,USA,A1,1992,1,1990,Medium Fatalities
17068,24-MAR-1992,Boeing 707-321C,Golden Star Air Cargo,7.0,near Athens-Ellinikon...,Greece,A1,1992,1,1990,Low Fatalities
17069,25-MAR-1992,Antonov An-32,Indian AF,6.146275647879436,Valley,India,U1,1992,1,1990,Low Fatalities
17070,26-MAR-1992,Dassault Falcon 10,Unknown,6.146275647879436,Brest,France,U1,1992,1,1990,Low Fatalities
17071,26-MAR-1992,Douglas Dc-9-15,Intercontinental de AviaciÃ³n,0.0,Tumaco-La Florid...,Colombia,A1,1992,0,1990,No Fatalities
17072,27-MAR-1992,Yakovlev Yak-40,Aeroflot,0.0,Stepanakert,Azerbaijan,C2,1992,0,1990,No Fatalities
17073,28-MAR-1992,Douglas Dc-8-33Af,Export Air,0.0,Iquitos Airport ...,Peru,A1,1992,0,1990,No Fatalities
17074,30-MAR-1992,Antonov An-26,Soviet AF,0.0,Swarupnagar,India,A1,1992,0,1990,No Fatalities
17075,30-MAR-1992,Dc-9-32,Aviaco,0.0,Granada Airport ...,Spain,A1,1992,0,1990,No Fatalities
17076,30-MAR-1992,Antonov An-2,Magadan Avia,1.0,near Magadan,Russia,A1,1992,1,1990,Low Fatalities
17077,31-MAR-1992,Boeing 707-321C,Trans-Air Service,0.0,Istres,France,A1,1992,0,1990,No Fatalities
17078,31-MAR-1992,Kawasaki P-3C-Ii.5 Orion,Japanese Navy,0.0,Iwo Jima Air Bas...,Japan,A1,1992,0,1990,No Fatalities
